student_id,attendance_pct,cat1_score,cat2_score,assignment_avg,practical_avg,lms_activity_pct,study_hours_week,final_exam_score,overall_mark,pass_fail
EICN/2016/7362,96,16,20,77,84,100,12.7,55,61.6,1
EICN/2018/3934,92,24,13,86,90,97,11.5,63,67.6,1
EICN/2025/3152,71,13,13,67,58,78,12.9,47,49,1
EICN/2016/6965,72,11,25,79,67,98,14.6,52,58.6,1
EICN/2022/1794,71,21,12,52,59,67,16.3,44,49.6,1
EICN/2019/8187,83,22,19,68,67,74,13.6,55,61.5,1
EICN/2022/3371,100,24,22,71,78,100,5.6,40,57.9,1
EICN/2021/3119,68,16,22,54,75,63,10.8,38,50.9,1
EICN/2015/8004,74,18,25,70,76,80,11.5,59,65.6,1
EICN/2022/4583,71,17,22,47,44,64,5.7,51,54.1,1
EICN/2021/0579,85,9,17,81,88,97,3.7,51,55.4,1
EICN/2021/8812,85,20,18,55,58,73,11.1,43,51.8,1
EICN/2022/7128,95,16,16,57,67,76,7.9,51,53.9,1
EICN/2024/9919,84,11,16,67,71,81,1,34,44.3,1
EICN/2015/8736,84,20,11,59,66,70,11.6,41,48.5,1
EICN/2018/9943,92,21,11,70,75,90,10.7,55,58,1
EICN/2019/9930,87,17,0,75,62,84,14.4,27,35.7,0
EICN/2015/3088,73,14,8,57,61,68,7.1,35,40.3,1
EICN/2021/0927,74,17,23,75,85,81,7.4,46,59,1
EICN/2017/6417,69,17,25,78,74,84,10.5,57,64.7,1
EICN/2024/4220,100,14,22,89,100,100,5.2,54,63.9,1
EICN/2025/3311,50,10,15,34,43,46,7.8,46,43.2,1
EICN/2022/3034,60,12,17,60,70,79,12.6,47,51,1
EICN/2015/5346,69,13,9,52,66,48,11.6,37,41.3,1
EICN/2025/9241,73,18,21,72,65,79,13.6,47,56.7,1
EICN/2019/1594,62,12,17,35,20,37,4.3,25,32.5,0
EICN/2018/5865,47,10,22,23,26,28,16.6,43,42.4,1
EICN/2020/3421,97,26,15,73,81,100,8,54,62.9,1
EICN/2021/9486,79,24,7,65,56,70,11,54,54.6,1
EICN/2023/1347,85,27,12,85,85,100,12.6,55,64,1
EICN/2017/3415,100,15,20,85,73,100,1,44,55.3,1
EICN/2017/2116,71,12,13,69,59,75,15.8,38,44.3,1
EICN/2019/1362,81,9,13,72,78,100,6.9,43,47.5,1
EICN/2016/4255,74,17,25,83,84,93,11.4,66,70.7,1
EICN/2022/7555,75,14,18,74,73,100,16.3,49,55.2,1
EICN/2019/9208,64,16,22,71,67,77,7.7,49,57.3,1
EICN/2019/9581,84,16,15,40,46,55,14.5,41,44.6,1
EICN/2024/0595,70,20,18,47,23,60,1,34,43,1
EICN/2022/6645,79,14,19,52,37,68,9.1,34,42.4,1
EICN/2019/9093,100,21,10,72,70,100,10.7,58,58.7,1
EICN/2024/2821,80,15,11,60,67,66,10.8,38,44.7,1
EICN/2020/6287,71,12,16,35,30,41,15.5,39,40,1
EICN/2016/3711,94,21,12,65,66,93,11.8,46,52.6,1
